LGA;Ward;Settlement;Facility;Type;Ownership;Address;Longitude;Latitude
Agaie;Baro Ward;;Guregi Health Post;;;;;
Agaie;Baro Ward;;Loguma Primary Health Centre;;;;;
Agaie;Baro Ward;;Wadata (Baro) Primary Health Centre;;;;;
Agaie;Baro Ward;;Timigi Primary Health Care;;;;;
Agaie;Baro Ward;;Shabawoshi Maternal and Child Health Clinic;;;;;
Agaie;Baro Ward;;Baro Maternal and Child Health Clinic;;;;;
Agaie;Baro Ward;;Wunazdukodan Health Post;;;;;
Agaie;Baro Ward;;Essun Comprehensive Health Center;;;;;
Agaie;Baro Ward;;Kakpi Health Post;;;;;
Agaie;Baro Ward;;Wuna Clinic;;;;;
Agaie;Baro Ward;;Akwano Primary Health Care;;;;;
Agaie;Boku Ward;;Essangi Primary Health Centre;;;;;
Agaie;Boku Ward;;Ndaiji Primary Health Care;;;;;
Agaie;Boku Ward;;Jipo 1 Primary Health Centre;;;;;
Agaie;Boku Ward;;Nami Primary Health Centre;;;;;
Agaie;Boku Ward;;Tsadza MDG Comprehensive Health Centre;;;;;
Agaie;Boku Ward;;Mashina Tako Primary Health Centre;;;;;
Agaie;Boku Ward;;n Boku MDG Comprehensive Health Centre;;;;;
Agaie;Ekobaddegi Ward;;Agaie  Town Primary Health Centre;;;;;
Agaie;Ekobaddegi Ward;;Agaie General Hospital;;;;;
Agaie;Ekosa Ward;;Ekossa  Maternal and Child Health Clinic;;;;;
Agaie;Ekosa Ward;;Raima Primary Health Care;;;;;
Agaie;Ekosa Ward;;Bororoko Primary Health Centre;;;;;
Agaie;Ekowugi Ward;;Ekowugi Basic Health Clinic;;;;;
Agaie;Ekowuna Ward;;Ekowuna  Maternal and Child Health;;;;;
Agaie;Estugaie Ward;;Tsaduko Primary Health Centre;;;;;
Agaie;Estugaie Ward;;Chata Primary Health Centre;;;;;
Agaie;Estugaie Ward;;Liman Primary Health Centre;;;;;
Agaie;Estugaie Ward;;Etsugaie Basic Health Clinic;;;;;
Agaie;Estugaie Ward;; Mayaki Primary Health Centre;;;;;
Agaie;Fogbe Ward;;Wanigi Primary Health Center;;;;;
Agaie;Fogbe Ward;;Ekpagi Health Post;;;;;
Agaie;Fogbe Ward;;Fogbe Primary Health Center;;;;;
Agaie;Fogbe Ward;;Edoko Primary Health Centre;;;;;
Agaie;Fogbe Ward;;Zago PHC;;;;;
Agaie;Fogbe Ward;;Tswayan Doka Primary Health Center;;;;;
Agaie;Kutiriko Ward;;Tswachiko Primary Health Centre;;;;;
Agaie;Kutiriko Ward;;Sallawu Primary Health Centre;;;;;
Agaie;Kutiriko Ward;;Kutiriko Basic Health Clinic;;;;;
Agaie;Magaji Ward;;Salawu Primary Health Centre;;;;;
Agaie;Magaji Ward;;Eyye Primary Health Centre;;;;;
Agaie;Magaji Ward;;Emitsadu MDG Comprehensive Health Centre;;;;;
Agaie;Magaji Ward;;Magaji Primary Health Care ;;;;;
Agaie;Magaji Ward;;Goyiko Health Post;;;;;
Agaie;Tagagi Ward;;Egukpa Health Post;;;;;
Agaie;Tagagi Ward;;Ndako Primary Health Centre;;;;;
Agaie;Tagagi Ward;;Tsakpati Health Post;;;;;
Agaie;Tagagi Ward;;Shipogi  Health Post;;;;;
Agaie;Tagagi Ward;;Kusoyaba Health Post;;;;;
Agaie;Tagagi Ward;;Tagagi Basic Health Clinic;;;;;
Agaie;Tagagi Ward;;Mashina Chika Health Post;;;;;
Agwara;Gallah Ward;;Gallah Basic Health Clinic;;;;;
Agwara;Kokoli Ward;;Kokoli Primary Health Care;;;;;
Agwara;Kokoli Ward;;Tungan Danbaba Primary Health Clinic;;;;;
Agwara;Kokoli Ward;;Bukadubu Primary Health Centre;;;;;
Agwara;Papiri Ward;;Tungan Dorawa Primary Health Clinic;;;;;
Agwara;Papiri Ward;;Papiri Primary Health Clinic;;;;;
Agwara;Papiri Ward;;Azamakoshi Primary Health Cntre;;;;;
Agwara;Papiri Ward;;Kwana Health Clinic;;;;;
Agwara;Papiri Ward;;Tungan Kadiba Primary Health Clinic;;;;;
Agwara;Rofia Ward;;Ororo Health Clinic;;;;;
Agwara;Suteku Ward;;Mahuta Primary Health Clinic;;;;;
Bida;Bariki Ward;;Sokokunke Clinic;;;;;
Bida;Bariki Ward;;Sauki Clinic Bida;;;;;
Bida;Bariki Ward;;Bida Federal Medical Centre;;;;;
Bida;Bariki Ward;;Corner Stone Medical Store;;;;;
Bida;Bariki Ward;;Kangi Primary Health Care;;;;;
Bida;Bariki Ward;;Yetu Hospital;;;;;
Bida;Cheniyan Ward;;Umaru Sanda Ndayako General Hospital;;;;;
Bida;Cheniyan Ward;;Faib Primary Health Care;;;;;
Bida;Cheniyan Ward;;Efengi Health Community Centre, Esso Area;;;;;
Bida;Cheniyan Ward;;Yebosoko Specialist Hospital;;;;;
Bida;Cheniyan Ward;;Cheniya Lafiya Clinic Bida;;;;;
Bida;Cheniyan Ward;;Bida clinic;;;;;
Bida;Dokodza Ward;;Agape Specilist Clinic;;;;;
Bida;Dokodza Ward;;Dokodza Maternity and Child Health Clinic PPFN;;;;;
Bida;Dokodza Ward;;Gbazhi Area Community Dispensary;;;;;
Bida;Kyari Ward;;Hajiya Amina Clinic;;;;;
Bida;Kyari Ward;;Kpebegi Area Dispensary;;;;;
Bida;Kyari Ward;;Gbogbontigi Primary Health Center;;;;;
Bida;Landzun Ward;;Etsu Yahaya Primary Health Centre;;;;;
Bida;Masaba A Ward;;Azman primaryn Health Care bida;;;;;
Bida;Masaba B Ward;;Faith Clinic Bida;;;;;
Bida;Masaba B Ward;;Mackwall Maternity Child Health;;;;;
Bida;Masaba B Ward;;Modern Market Primary Health Care;;;;;
Bida;Masaba B Ward;;Maraba hospital;;;;;
Bida;Masaga A Ward;;Nakodi Abubakar Clinic;;;;;
Bida;Masaga A Ward;;Maraba Clinic and Maternity;;;;;
Bida;Masaga B Ward;;Liman Dikko Primary Health Centre;;;;;
Bida;Masaga B Ward;;Efu Lubasa MDG  Health Clinic;;;;;
Bida;Mayaki Nadjiya Ward;;Wambai Health Post;;;;;
Bida;Mayaki Nadjiya Ward;;Mayaki Ndajiya Primary Health Centre;;;;;
Bida;Nassarafu Ward;;Sokoge Clinic;;;;;
Bida;Nassarafu Ward;;Nasarafu Maternal and Child Health Clinic;;;;;
Bida;Nassarafu Ward;;Bangaie (ALGON) Primary Health Centre;;;;;
Bida;Nassarafu Ward;;Alheri Maternity Home (Banyagi);;;;;
Bida;Umaru Majigi A Ward;;Laruta Clinic;;;;;
Bida;Umaru Majigi B Ward;;Fed Polytechnic Medical Center Bida;;;;;
Bida;Umaru Majigi B Ward;;Efu Lukpan Dispensary;;;;;
Bida;Umaru Majigi B Ward;;Bangbara Health Post;;;;;
Bida;Wadata Ward;;Emir's Palace Primary Health Centre;;;;;
Bida;Wadata Ward;;Bologi Clinic;;;;;
Bida;Wadata Ward;;Wadata Primary Health Centre;;;;;
Bida;Wadata Ward;;Engr. A. A. Kure Primary Health Centre;;;;;
Bida;Wadata Ward;;Bazumagi Health Post;;;;;
Bida;Wadata Ward;;Mazhi Hassan Clinic;;;;;
Bida;Wadata Ward;;Mayaki Ani Health Post;;;;;
Borgu;Babanna Ward ;;Kuble Health Clinic;;;;;
Borgu;Babanna Ward ;;Dekara Health Centre;;;;;
Borgu;Babanna Ward ;;Kapubara Health Clinic;;;;;
Borgu;Babanna Ward ;;Garuji Clinic;;;;;
Borgu;Babanna Ward ;;Yagwaso Primary Health Centre;;;;;
Borgu;Babanna Ward ;;Marami Clinic;;;;;
Borgu;Babanna Ward ;;Babanna Basic Health Clinic;;;;;
Borgu;Bussa Ward;;New Bussa Family Health Center;;;;;
Borgu;Bussa Ward;;NEPA (MESL) Hospital;;;;;
Borgu;Bussa Ward;;Ahmadiya Muslim Hospital;;;;;
Borgu;Bussa Ward;;Kainji Medical Centre;;;;;
Borgu;Bussa Ward;;New Bussa Leprosy Clinic;;;;;
Borgu;Bussa Ward;;New Bussa General Hospital;;;;;
Borgu;Bussa Ward;;Sauki Clinic and Maternity (Borgu);;;;;
Borgu;Bussa Ward;;Karabonde Health Clinic;;;;;
Borgu;Bussa Ward;;Yuna Health Clinic;;;;;
Borgu;Bussa Ward;;Monnai Primary Health Centre;;;;;
Borgu;Gbeswa Ward;;Pissa Primary Health Clinic;;;;;
Borgu;Gbeswa Ward;;Gangale Health Clinic;;;;;
Borgu;Gbeswa Ward;;Kokani Health Clinic;;;;;
Borgu;Gbeswa Ward;;Konkoso Basic Health Clinic;;;;;
Borgu;Gbeswa Ward;;Zatenna Health Clinic;;;;;
Borgu;Gbeswa Ward;;Bako Mission Health Centre;;;;;
Borgu;Gbeswa Ward;;Kigbera Health Post;;;;;
Borgu;Gbeswa Ward;;Tungan Makeri Health Post;;;;;
Borgu;Kabe Ward;;Kanu Clinic;;;;;
Borgu;Kabe Ward;;SokonBara Health Clinic;;;;;
Borgu;Kabe Ward;;Kabe Health Clinic;;;;;
Borgu;Kabe Ward;;Tungan Demu Primary Health Centre;;;;;
Borgu;Malale Ward ;;Malale Health Clinic;;;;;
Borgu;Malale Ward ;;Tungan Nailo Clinic;;;;;
Borgu;Nassarawa Ward;;Guffanti health center;;;;;
Borgu;Nassarawa Ward;;Yumu Health Center;;;;;
Borgu;Nassarawa Ward;;Dugga Mashaya Health Clinic;;;;;
Borgu;Nassarawa Ward;;Ulakami-Ujiji Health Clinic;;;;;
Borgu;Nassarawa Ward;;Dugga Health Centre;;;;;
Borgu;Rafi Ward ;;Dogon Gari Health Clinic;;;;;
Borgu;Rafi Ward ;;Old Kurwasa Health Clinic ;;;;;
Borgu;Rafi Ward ;;New Awuru Health Clinic;;;;;
Borgu;Rafi Ward ;;Awuru Clinic and Maternity;;;;;
Borgu;Rafi Ward ;;Fakun Dispensary;;;;;
Borgu;Rafi Ward ;;Old Awuru Health Clinic;;;;;
Borgu;Shagunu Ward;;Lumma Sanke Health Clinic;;;;;
Borgu;Shagunu Ward;;Lumma Baare Health Clinic;;;;;
Borgu;Shagunu Ward;;New Sansani Primary Health Centre;;;;;
Borgu;Shagunu Ward;;Swashi Clinic and Maternity;;;;;
Borgu;Shagunu Ward;;Swashi Model Primary Health Centre;;;;;
Borgu;Shagunu Ward;;Shagunu Basic Health Clinic;;;;;
Borgu;Shagunu Ward;;Old Sansani Health Care;;;;;
Borgu;Shagunu Ward;;Amboshidi Dispensary;;;;;
Borgu;Tunga Bube Ward;;Shafashi Primary Health Centre;;;;;
Borgu;Wawa Ward ;;Baburasa Dispensary;;;;;
Borgu;Wawa Ward ;;Al-Barka Clinic and Maternity;;;;;
Borgu;Wawa Ward ;;Gadaoli Health Post;;;;;
Borgu;Wawa Ward ;;Hope Clinic and Maternity;;;;;
Borgu;Wawa Ward ;;Garafini Health Post;;;;;
Borgu;Wawa Ward ;;Leshigbe Dispensary;;;;;
Borgu;Wawa Ward ;;Army barrack;;;;;
Borgu;Wawa Ward ;;Kali Health Post;;;;;
Borgu;Wawa Ward ;;Wawa Basic Health Clinic;;;;;
Bosso;Beji Ward;;Beji Basic Health Centre;;;;;
Bosso;Beji Ward;;Barkuta Primary Health Centre;;;;;
Bosso;Bosso Central I Ward;;National House Primary Health Centre;;;;;
Bosso;Bosso Central I Ward;;Gbaiko Primary Health Center;;;;;
Bosso;Bosso Central I Ward;;FUT Minna Primary Health Care Center;;;;;
Bosso;Bosso Central I Ward;;Jikpan Primary Health Centre;;;;;
Bosso;Bosso Central II Ward ;;Tudun Fulani Gabas PHC;;;;;
Bosso;Bosso Central II Ward ;;Tundun Fulani Primary Health Care;;;;;
Bosso;Bosso Central II Ward ;;Jikogbe Primary Health Centre;;;;;
Bosso;Bosso Central II Ward ;;Bosso Primary Health Centre;;;;;
Bosso;Chanchaga Ward;;Chanchaga Planned Parenthood of Nigeria Clinic;;;;;
Bosso;Chanchaga Ward;;Kadna Primary Health Centre;;;;;
Bosso;Chanchaga Ward;;Army Barrack Clinic;;;;;
Bosso;Chanchaga Ward;;Shango PHC;;;;;
Bosso;Garatu Ward;;Bahanya Primary Health Centre;;;;;
Bosso;Garatu Ward;;Gidan Mangoro Primary Health Centre;;;;;
Bosso;Garatu Ward;;Sabon Daga Model Primary Health Care Center;;;;;
Bosso;Garatu Ward;;Garatu Primary Health Centre;;;;;
Bosso;Garatu Ward;;Tsohon Daga Primary Health Centre;;;;;
Bosso;Garatu Ward;;Gidan Kwano Primary Health Centre;;;;;
Bosso;Garatu Ward;;Pompom Primary Health Care;;;;;
Bosso;Kampala Ward;;Gussase Primary Health Centre;;;;;
Bosso;Kampala Ward;;Kampala Primary Health Centre;;;;;
Bosso;Kampala Ward;;Nakpankuchi Primary Health Centre;;;;;
Bosso;Kampala Ward;;Popoi Primary Health Centre;;;;;
Bosso;Kampala Ward;;Kuyi Primary Health Centre;;;;;
Bosso;Kampala Ward;;Bwatapi Primary Health Centre;;;;;
Bosso;Kodo Ward;;Nangawu Chinama Primary Health Centre;;;;;
Bosso;Kodo Ward;;Kapaulagi Primary Health Centre;;;;;
Bosso;Kodo Ward;;Kodo Model Primary Health Centre;;;;;
Bosso;Kodo Ward;;Pai Primary Health Centre;;;;;
Bosso;Kodo Ward;;Tandigi Primary Health Centre;;;;;
Bosso;Kodo Ward;;Zokogi Primary Health Centre;;;;;
Bosso;Kodo Ward;;Nangawu Primary Health Centre;;;;;
Bosso;Kodo Ward;;Tsohon Kanpani Primary Health Centre;;;;;
Bosso;Kodo Ward;;Tsadogonna Primary Health Care;;;;;
Bosso;Maikunkele Ward;;Maikunkele Maternal and Child Health Centre;;;;;
Bosso;Maikunkele Ward;;Jimi Primary Health Centre;;;;;
Bosso;Maikunkele Ward;;Nigerian Airforce Clinic;;;;;
Bosso;Maikunkele Ward;;Gbedodnai Primary Health Centre;;;;;
Bosso;Maikunkele Ward;;Jikuchi Primary Health Care;;;;;
Bosso;Maikunkele Ward;;Mayawi Primary Health Centre;;;;;
Bosso;Maikunkele Ward;;Kiyola Primary Health Center;;;;;
Bosso;Maikunkele Ward;;Jangaru Primary Health Centre;;;;;
Bosso;Maikunkele Ward;;Maikunkele Quarters Primary Health Center;;;;;
Bosso;Maikunkele Ward;;Rafin Yashi Primary Health Centre;;;;;
Bosso;Maitumbi Ward;;Shakwata Primary Health Center;;;;;
Bosso;Maitumbi Ward;;Tunga Waya Primary Health Centre;;;;;
Bosso;Maitumbi Ward;;Gada Yanbiyu Primary Health Centre;;;;;
Bosso;Maitumbi Ward;;Gudu Gudu Primary Health Centre;;;;;
Bosso;Maitumbi Ward;;Gurusu Primary Health Centre;;;;;
Bosso;Maitumbi Ward;;Maitumbi Maternity Child Health;;;;;
Bosso;Maitumbi Ward;;Tayi B Primary Health Centre;;;;;
Bosso;Maitumbi Ward;;Pmassi Primary Health Center;;;;;
Bosso;Maitumbi Ward;;Lokoto Primary Health Center;;;;;
Bosso;Shatta Ward;;Pyatta Primary Health Centre;;;;;
Bosso;Shatta Ward;;Shatta Primary Health Centre;;;;;
Bosso;Shatta Ward;;Madako Primary Health Care;;;;;
Bosso;Shatta Ward;;Zinari Primary Health Centre;;;;;
Chanchaga;Limawa 'A' Ward;;Old Airport Road Clinic;;;;;
Chanchaga;Limawa 'A' Ward;;Family Support Program PHC ;;;;;
Chanchaga;Limawa 'B' Ward;;D/Kura Hausa Health Clinic;;;;;
Chanchaga;Limawa 'B' Ward;;Kutirko Primary Health Centre;;;;;
Chanchaga;Limawa 'B' Ward;;Devine Mercy Hospital;;;;;
Chanchaga;Limawa 'B' Ward;;D/Kura Gwari Health Clinic;;;;;
Chanchaga;Makera Ward;;Minna General Hospital;;;;;
Chanchaga;Minna Central Ward;;123 Clinic;;;;;
Chanchaga;Minna South Ward;;Kpakungu Primary Health Care;;;;;
Chanchaga;Minna South Ward;;Barkin Sale Planned Parenthood of Nigeria Clinic;;;;;
Chanchaga;Minna South Ward;;Nyinkpagbe Health Clinic;;;;;
Chanchaga;Minna South Ward;;Chankwan Primary Health Centre;;;;;
Chanchaga;Nassarawa 'A' Ward;;Gwari Road Minna Maternal and Child Health Clinic;;;;;
Chanchaga;Nassarawa 'B' Ward;;Police Clinic Minna;;;;;
Chanchaga;Nassarawa 'C' Ward;;Tayi Health Clinic (Chanchaga);;;;;
Chanchaga;Nassarawa 'C' Ward;;Anguwan Biri Primary Health Care;;;;;
Chanchaga;Sabon Gari Ward;;Abdulsalam Qtrs Clinic;;;;;
Chanchaga;Sabon Gari Ward;;A/Kuje UBE School Clinic;;;;;
Chanchaga;Tudunwada North Ward;;Kanfanyi Primary Health Centre;;;;;
Chanchaga;Tudunwada North Ward;;Tunga UBE School Clinic;;;;;
Chanchaga;Tudunwada North Ward;;M.i wushishi clinic;;;;;
Chanchaga;Tudunwada South Ward;;Tunga Sabon Titi Health Centre;;;;;
Chanchaga;Tudunwada South Ward;;Sauka Kahuta Primary Health Care;;;;;
Chanchaga;Tudunwada South Ward;;Primary Health Care Tunga;;;;;
Edati;Enagi Ward;;Enagi Health Clinic;;;;;
Edati;Enagi Ward;;Edogi Health Clinic;;;;;
Edati;Enagi Ward;;Gogata Health Clinic;;;;;
Edati;Etsu-Tasha Ward;;Mapa Health Clinic;;;;;
Edati;Etsu-Tasha Ward;;Kpayi Health Post;;;;;
Edati;Etsu-Tasha Ward;;Tswanku Basic Health Clinic;;;;;
Edati;Etsu-Tasha Ward;;Etsu Tasha Health Clinic;;;;;
Edati;Etsu-Tasha Ward;;Emi Tasha Health Clinic;;;;;
Edati;Etsu-Tasha Ward;;Donko Health Clinic;;;;;
Edati;Etsu-Tasha Ward;;Gamunu Health Clinic;;;;;
Edati;Etsu-Tasha Ward;;Chegungi Health Clinic;;;;;
Edati;Fazhi Ward;;Fazhi Health Post;;;;;
Edati;Gashe2 ward;;Bongi Health Clinic;;;;;
Edati;Gashe2 ward;;Kagba Health Clinic;;;;;
Edati;Gashe2 ward;;Botan Health Clinic;;;;;
Edati;Gashe2 ward;;Lenfa Health Clinic;;;;;
Edati;Gazhe1 Ward;;Tadima health Clinic;;;;;
Edati;Gazhe1 Ward;;Evunta Health Clinic;;;;;
Edati;Gazhe1 Ward;;Gazhe 1 Community Health Clinic;;;;;
Edati;Gazhe1 Ward;;Edosworagi Health Clinic;;;;;
Edati;Gazhe1 Ward;;Bafu Health Clinic;;;;;
Edati;Gazhe1 Ward;;Barratsu Health Clinic;;;;;
Edati;Gazhe1 Ward;;Evunta Health Clinic;;;;;
Edati;Gbangban Ward;;Lukoro Health Clinic;;;;;
Edati;Gbangban Ward;;Gbanpin Health Clinic;;;;;
Edati;Gbangban Ward;;Gbamace Leemp Health Clinic ;;;;;
Edati;Gbangban Ward;;Gbangban Community Health Clinic ;;;;;
Edati;Gbangban Ward;;Wuya Health Clinic;;;;;
Edati;Gbangban Ward;;Chengudu Health Clinic;;;;;
Edati;Gbangban Ward;;Malungi Health Clinic;;;;;
Edati;Gonagi Ward ;;Gonagi health clinic;;;;;
Edati;Gonagi Ward ;;Kantigi Health Clinic;;;;;
Edati;Guzzan Ward;;Gbanbu Health Clinic;;;;;
Edati;Guzzan Ward;;Dikko Health Clinic;;;;;
Edati;Guzzan Ward;;Gbodoti Model Primary Health Centre;;;;;
Edati;Guzzan Ward;;Guzzan Leemp Health Clinic;;;;;
Edati;Rokota Ward;;Rokota Leemp Health Clinic;;;;;
Edati;Rokota Ward;;Kwale Health Clinic;;;;;
Edati;Rokota Ward;;Emigi Health Clinic;;;;;
Edati;Rokota Ward;;Lazhikolo Leemp Health Clinic ;;;;;
Edati;Rokota Ward;;Kobbo Health Clinic ;;;;;
Edati;Sakpe Ward;;Evungi Health Clinic ;;;;;
Edati;Sakpe Ward;;Buku Health Clinic ;;;;;
Edati;Sakpe Ward;;Guduko Health Clinic;;;;;
Edati;Sakpe Ward;;Boloogi Health Clinic;;;;;
Edati;Sakpe Ward;;Fada Health Clinic;;;;;
Gbako;Batagi Ward;;Sakiwa Basic Health Clinic ;;;;;
Gbako;Batagi Ward;;Massaga Bidanko Basic Health Clinic;;;;;
Gbako;Batagi Ward;;Batagi Basic Health Clinic;;;;;
Gbako;Batako Ward;;Mantafien Basic Health Clinic ;;;;;
Gbako;Batako Ward;;Batako Basic Health Clinic;;;;;
Gbako;Batako Ward;;Rufayi Health Post;;;;;
Gbako;Batako Ward;;Gbangbatsofo Health Post;;;;;
Gbako;Batako Ward;;Emitsowa Basic Health Clinic;;;;;
Gbako;Batako Ward;;Gara Health Post;;;;;
Gbako;Batako Ward;;Bata Woro Health Post;;;;;
Gbako;Batako Ward;;Tsadu Kashi Health Post;;;;;
Gbako;Batako Ward;;Tswatagi Health Post;;;;;
Gbako;Batako Ward;;Emidachi Health Post;;;;;
Gbako;Edokata Ward;;Dada  Health Post;;;;;
Gbako;Edokata Ward;;Essan Patigi Health Post;;;;;
Gbako;Edokata Ward;;Ndadzuru Health Post;;;;;
Gbako;Edokata Ward;;Egbe Basic Health Clinic;;;;;
Gbako;Edokata Ward;;Ebugi  Health Post;;;;;
Gbako;Edokata Ward;;Essan Patissan Health Post;;;;;
Gbako;Edokata Ward;;Essan Kuchita Health Post;;;;;
Gbako;Edokata Ward;;Edokota Basic Health Clinic;;;;;
Gbako;Edokata Ward;;Sonkpata Health Post;;;;;
Gbako;Edokata Ward;;Emigi Health Post;;;;;
Gbako;Edozhigi Ward;;Chekpanfu Health Post;;;;;
Gbako;Edozhigi Ward;;Koragba Health Post;;;;;
Gbako;Edozhigi Ward;;Gusadin Basic Health Clinic;;;;;
Gbako;Edozhigi Ward;;Edozhigi Primary Health Centre;;;;;
Gbako;Edozhigi Ward;;Mamafu Health Post;;;;;
Gbako;Edozhigi Ward;;Tabo Health Post;;;;;
Gbako;Edozhigi Ward;;Dakpan Basic Health Clinic;;;;;
Gbako;Edozhigi Ward;;Kedigi Health Post;;;;;
Gbako;Edozhigi Ward;;Yeregi Basic Health Clinic;;;;;
Gbako;Etsu-Audu Ward;;Saganuwan-Kula Primary Health centre;;;;;
Gbako;Etsu-Audu Ward;;Fembo Health Post;;;;;
Gbako;Etsu-Audu Ward;;Nda'aba Health Post;;;;;
Gbako;Etsu-Audu Ward;;Ndagbacin Basic Health Clinic;;;;;
Gbako;Etsu-Audu Ward;;Nuwayan Health Post;;;;;
Gbako;Etsu-Audu Ward;;Wawagi Basic Health Clinic;;;;;
Gbako;Etsu-Audu Ward;;Kochikota Health Post;;;;;
Gbako;Etsu-Audu Ward;;Fakumba Health Post;;;;;
Gbako;Etsu-Audu Ward;;Mangorota Health Post;;;;;
Gbako;Etsu-Audu Ward;;Etsu-Audu Basic Health Clinic;;;;;
Gbako;Etsu-Audu Ward;;Magoyi Health Post;;;;;
Gbako;Etsu-Audu Ward;;Sheshimandiko Health Post;;;;;
Gbako;Etsu-Audu Ward;;Emisagi Health Post;;;;;
Gbako;Etsu-Audu Ward;;Egbati Yisa Health Post;;;;;
Gbako;Gbadafu Ward;;Evungi Basic Health Clinic;;;;;
Gbako;Gbadafu Ward;;Biramafu Basic Health Clinic;;;;;
Gbako;Gbadafu Ward;;Gbanguba Health Post;;;;;
Gbako;Gbadafu Ward;;Sakofu Health Post;;;;;
Gbako;Gbadafu Ward;;Gbadafu Basic Health Clinic;;;;;
Gbako;Gbadafu Ward;;Sakofu Health Post;;;;;
Gbako;Gbadafu Ward;;Zanchita Health Post;;;;;
Gbako;Gogata Ward;;Gogata Basic Health Clinic;;;;;
Gbako;Gogata Ward;; ni Shabafu Health Post;;;;;
Gbako;Gogata Ward;;Goyi Dangi Health Post;;;;;
Gbako;Gogata Ward;;Komu Health Post;;;;;
Gbako;Lemu Ward;;Lemu Maternal Health Centre;;;;;
Gbako;Lemu Ward;;Yetu Maternity Clinic;;;;;
Gbako;Lemu Ward;;Kunkele Basic Health Clinic;;;;;
Gbako;Lemu Ward;;Lemu Rural Hospital;;;;;
Gbako;Lemu Ward;;Yebocin Health Centre;;;;;
Gbako;Nuwan Kota Ward;;Kolobu Health Post;;;;;
Gbako;Nuwan Kota Ward;;Laga Health Post;;;;;
Gbako;Nuwan Kota Ward;;Bidafu Jaaba Health Post;;;;;
Gbako;Nuwan Kota Ward;;Evuntagi Health Post;;;;;
Gbako;Nuwan Kota Ward;;Swasnuwan Gabi Health Post;;;;;
Gbako;Nuwan Kota Ward;;Wasagi Basic Health Clinic;;;;;
Gbako;Nuwan Kota Ward;;Legbozukun Basic Health Clinic;;;;;
Gbako;Nuwan Kota Ward;;Bini Health Post;;;;;
Gbako;Nuwan Kota Ward;;Edotsu Health Post;;;;;
Gbako;Nuwan Kota Ward;;Nuwankota Basic Health Clinic;;;;;
Gbako;Nuwan Kota Ward;;Malagi Health Post;;;;;
Gbako;Nuwan Kota Ward;;Saganuwan Pachi Health Post;;;;;
Gbako;Nuwan Kota Ward;;Emimaru Health Post;;;;;
Gbako;Nuwan Kota Ward;;Sommaji Bata Health Post;;;;;
Gbako;Nuwan Kota Ward;;Toroko Basic Health Clinic;;;;;
Gbako;Sommazhiko Ward;;Kowangi Health Post;;;;;
Gbako;Sommazhiko Ward;;Gbangba Basic Health Clinic;;;;;
Gbako;Sommazhiko Ward;;Ndako Gana Basic Health Clinic;;;;;
Gbako;Sommazhiko Ward;;Gududzuru Health Post;;;;;
Gbako;Sommazhiko Ward;;Bidafutako Health Post;;;;;
Gbako;Sommazhiko Ward;;Shabalegbo Basic Health Clinic;;;;;
Gbako;Sommazhiko Ward;;Tiwugi Basic Health Centre;;;;;
Gbako;Sommazhiko Ward;;Nuwanko Somma  Health Post;;;;;
Gbako;Sommazhiko Ward;;Ndalada Health Post;;;;;
Gbako;Sommazhiko Ward;;Mainasara Clinic;;;;;
Gbako;Sommazhiko Ward;;Sonmazhiko Basic Health Clinic;;;;;
Gurara;Bonu Ward;;Kutili Dispensary;;;;;
Gurara;Bonu Ward;;Sinsi Dispensary;;;;;
Gurara;Bonu Ward;;Bazhi Dispensary;;;;;
Gurara;Bonu Ward;;Bonu Primary Health Centre;;;;;
Gurara;Bonu Ward;;T/Wada (Ebba) Dispensary;;;;;
Gurara;Bonu Ward;;Tuna Primary Health Centre;;;;;
Gurara;Bonu Ward;;Dagigbe Dispensary;;;;;
Gurara;Boyi Ward;;Boyi Sarki Dispensary;;;;;
Gurara;Boyi Ward;;Sullu Dispensary;;;;;
Gurara;Boyi Ward;;Kadna Primary Health Care;;;;;
Gurara;Boyi Ward;;Angwan Nasara Prinary Health Care;;;;;
Gurara;Boyi Ward;;Boyi Madaki Dispensary;;;;;
Gurara;Boyi Ward;;Knanyihmana Primary Health Care;;;;;
Gurara;Boyi Ward;;Daku Dispensary;;;;;
Gurara;Diko Ward;;Dikko Primary Health Centre (Gurara);;;;;
Gurara;Diko Ward;;Diko Model Primary Health Centre;;;;;
Gurara;Gawu Ward;;Alpha Clinic;;;;;
Gurara;Gawu Ward;;Gawu Federal Medical Centre;;;;;
Gurara;Gawu Ward;;Gawu Babangida Maternal and Child Clinic;;;;;
Gurara;Izom Ward;;Abuchi Gwari Dispensary;;;;;
Gurara;Izom Ward;;Izom Basic Health Care;;;;;
Gurara;Izom Ward;;Divine Maternity Home;;;;;
Gurara;Izom Ward;; ZhigbodoPrimary Healh Center;;;;;
Gurara;Kabo Ward;;Zabaidna Dispensary;;;;;
Gurara;Kabo Ward;;Iwa Dispensary;;;;;
Gurara;Kabo Ward;;Shanu Dispensary;;;;;
Gurara;Kabo Ward;;Gussu Dispensary;;;;;
Gurara;Kabo Ward;;Sayindna Primary Health Care;;;;;
Gurara;Kabo Ward;;Kabo Primary Health Centre;;;;;
Gurara;Kwaka Ward;;Burum Dispensary;;;;;
Gurara;Kwaka Ward;;Kwaka Model Primary Health Centre;;;;;
Gurara;Kwaka Ward;;Wagu Dispensary;;;;;
