LGA;Ward;Settlement;Facility;Type;Ownership;Address;Longitude;Latitude
Akoko-Edo;Aiyegunle Ward;;Ogbe Primary Health Centre;;;;;
Akoko-Edo;Aiyegunle Ward;;Ugboshi-Afe Primary Health Centre;;;;;
Akoko-Edo;Aiyegunle Ward;;Somorika Primary Health Centre;;;;;
Akoko-Edo;Aiyegunle Ward;;Ogugu Primary Health Centre;;;;;
Akoko-Edo;Aiyegunle Ward;;Sasaro Primary Health Centre;;;;;
Akoko-Edo;Aiyegunle Ward;;Ugboshi-Ele Primary Health Centre;;;;;
Akoko-Edo;Aiyegunle Ward;;Aiyegunle Primary Health Centre;;;;;
Akoko-Edo;Aiyegunle Ward;;Onumu Primary Health Centre;;;;;
Akoko-Edo;Ewan/Atte Ward;;Atte Primary Health Centre;;;;;
Akoko-Edo;Ewan/Atte Ward;;Enwan I Primary Health Centre;;;;;
Akoko-Edo;Ewan/Atte Ward;;Enwan II Primary Health Centre;;;;;
Akoko-Edo;Ewan/Atte Ward;;Egbigere II Primary Health Centre;;;;;
Akoko-Edo;Ewan/Atte Ward;;Egbigere I Primaey Health Centre;;;;;
Akoko-Edo;Ewan/Atte Ward;;Ikpeshi Primary Health Centre;;;;;
Akoko-Edo;Ibillo Ward;;Ekpesa Primary Health Centre;;;;;
Akoko-Edo;Ibillo Ward;;Ikiran-Oke Primary Health Centre;;;;;
Akoko-Edo;Ibillo Ward;;Ibillo Primary Health Centre;;;;;
Akoko-Edo;Ibillo Ward;;Ikiran-Ile Primary Health Centre;;;;;
Akoko-Edo;Igarra  Ward I;;Alafia Specialist Hospital;;;;;
Akoko-Edo;Igarra  Ward I;;Igarra Primary Health Centre;;;;;
Akoko-Edo;Igarra  Ward I;;Akuku Primary Health Centre;;;;;
Akoko-Edo;Igarra Ward;;Ugbogbo Primary Health Centre;;;;;
Akoko-Edo;Imoga/Lampese Ward;;Bekuma Primary Health Centre;;;;;
Akoko-Edo;Imoga/Lampese Ward;;Ekpe Primary Health Centre;;;;;
Akoko-Edo;Imoga/Lampese Ward;;Imoga Primary Health Centre;;;;;
Akoko-Edo;Imoga/Lampese Ward;;Lampese Primary Health Centre;;;;;
Akoko-Edo;Makeke/Ojah Ward;;Ojirami Primary Health Centre;;;;;
Akoko-Edo;Makeke/Ojah Ward;;Dagnala Primary Health Centre;;;;;
Akoko-Edo;Makeke/Ojah Ward;;Makeke Primary Health Centre;;;;;
Akoko-Edo;Makeke/Ojah Ward;;Ojah Primary Health Centre;;;;;
Akoko-Edo;Okpe/Kakumo Ward;;Ikakumo Primary Health Centre;;;;;
Akoko-Edo;Okpe/Kakumo Ward;;Ijaja Primary Health Centre;;;;;
Akoko-Edo;Okpe/Kakumo Ward;;Ayanran Primary Health Centre;;;;;
Akoko-Edo;Okpe/Kakumo Ward;;Okpe Primary Health Centre;;;;;
Akoko-Edo;Ososo Ward;;Ososo (Egbetua) Primary Health Centre;;;;;
Akoko-Edo;Ososo Ward;;Ososo (Yola) Primary Health Centre;;;;;
Akoko-Edo;Uneme-Nakhua Ward;;Ekpedo Primary Health Centre;;;;;
Akoko-Edo;Uneme-Nakhua Ward;;Uneme-Erhunru Primary Health Centre;;;;;
Akoko-Edo;Uneme-Nakhua Ward;;Uneme-Nekhua Primary Health Centre;;;;;
Egor;Egor Unknown Ward;;Police training school staff clinic;;;;;
Egor;Egor Ward;;Egor primary health centre;;;;;
Egor;Egor Ward;;Fortune Iyare Clinic;;;;;
Egor;Evbuotubu Ward;;Rophecan Hospital;;;;;
Egor;Ogida 1 Ward;;Ogida Primary Health Centre;;;;;
Egor;Ogida 1 Ward;;Evbogida PHC;;;;;
Egor;Ogida 1 Ward;;Bambi Children/Maternity Hospital;;;;;
Egor;Okhoro Ward;;Epid Unit PHC;;;;;
Egor;Ugbowo Ward;;Standard Hospital;;;;;
Egor;Ugbowo Ward;;Ebony Hospital;;;;;
Egor;Ugbowo Ward;;Echo Hospital;;;;;
Egor;Useh Ward;;Tega Hospital;;;;;
Egor;Useh Ward;;Mega clinic maternity;;;;;
Egor;Useh Ward;;Useh Primary Health Centre;;;;;
Egor;Uselu 2 Ward;;Mountain Care Hospital ;;;;;
Egor;Uselu 2 Ward;;Staff Clinic;;;;;
Egor;Uwelu Ward ;;Uwelu primary health centre;;;;;
Esan Central;Ewu Ward;;Ewu Primary Health Centre;;;;;
Esan Central;Ikekato Ward;;Agua Primary Health Center;;;;;
Esan Central;Ikekato Ward;;Ugbokhare Primary Health Centre;;;;;
Esan Central;Otoruwa Ward 1;;Irrua Primary Health Centre;;;;;
Esan Central;Otoruwa Ward 2;;District Hospital Usugbenu;;;;;
Esan Central;Ugbegun/Ebudin Ward;;Ebudin Primary Health Centre;;;;;
Esan Central;Ugbegun/Ebudin Ward;;Ugbegun Primary Health Centre;;;;;
Esan Central;Uneah Ward;;Ibore Primary Health Centre;;;;;
Esan Central;Uwessan Ward 1;;Unogbo Primary Health Centre;;;;;
Esan Central;Uwessan Ward 2;;Ibhiolulu Primary Health Centre;;;;;
Esan Central;Uwessan Ward 2;;Ohe Primary Health Centre;;;;;
Esan North-East;Arue Ward;;Eror Primary Health Care Centre;;;;;
Esan North-East;Efandion Ward;;Efandion PHC;;;;;
Esan North-East;Egbele Ward;;Uromi Urban Health Centre;;;;;
Esan North-East;Ewoyi 1 Ward;;Uwalor -Oke PHC;;;;;
Esan North-East;Idumu-Okojie Ward;;Medical Store;;;;;
Esan North-East;Obeidu Ward;;Obeidu Primary Health Centre;;;;;
Esan North-East;Obiyon/Amedokhian Ward;;Obiyon Primary Health Centre;;;;;
Esan North-East;Obiyon/Amedokhian Ward;;Awo Primary Health Centre;;;;;
